"Time"	"Weight"
"Before"	410.23
"Before"	416.36
"Before"	405.74
"Before"	405.68
"Before"	403.92
"Before"	411.94
"Before"	405.83
"Before"	410.44
"Before"	403.34
"Before"	404.55
"Before"	401.17
"Before"	406.32
"Before"	405.33
"Before"	401.84
"Before"	450.22
"Before"	458.6
"Before"	422.03
"Before"	419.03
"Before"	408.6
"Before"	430.05
"After"	388.21
"After"	215.32
"After"	423.57
"After"	292.45
"After"	285.66
"After"	308.37
"After"	290.87
"After"	294.16
"After"	226.15
"After"	253.77
"After"	277.04
"After"	291.49
"After"	218.89
"After"	308.12
"After"	328.51
"After"	254.67
"After"	297.38
"After"	292.16
"After"	301.99
"After"	292
