"Temperature"	"Treatment"	"Development"
12	"unwashed"	172.06
12	"unwashed"	160.08
12	"unwashed"	150.96
12	"unwashed"	155.05
12	"unwashed"	174.87
12	"unwashed"	182.63
12	"unwashed"	156.7
12	"unwashed"	168.31
12	"unwashed"	190.18
12	"unwashed"	175.07
12	"unwashed"	193.75
12	"unwashed"	154.73
12	"unwashed"	167.9
12	"unwashed"	167.55
12	"unwashed"	173.88
12	"unwashed"	170.41
12	"unwashed"	164.57
12	"unwashed"	174.8
12	"unwashed"	181.72
12	"unwashed"	185.48
12	"unwashed"	150.57
12	"unwashed"	174.42
12	"unwashed"	183.19
12	"unwashed"	159.16
12	"unwashed"	169.26
12	"washed"	179.72
12	"washed"	178.84
12	"washed"	170.87
12	"washed"	191.34
12	"washed"	180.77
12	"washed"	180.3
12	"washed"	177.74
12	"washed"	183.66
12	"washed"	169.82
12	"washed"	178.14
12	"washed"	167.73
12	"washed"	190.79
12	"washed"	180.55
12	"washed"	183.97
12	"washed"	179.98
12	"washed"	166.11
12	"washed"	179.61
12	"washed"	172.74
12	"washed"	182.89
12	"washed"	164.73
12	"washed"	175.73
12	"washed"	181.17
12	"washed"	154.31
12	"washed"	171.53
12	"washed"	193.95
16	"unwashed"	159.73
16	"unwashed"	161.5
16	"unwashed"	160.07
16	"unwashed"	174.75
16	"unwashed"	164.5
16	"unwashed"	166.71
16	"unwashed"	197.65
16	"unwashed"	164.76
16	"unwashed"	165.87
16	"unwashed"	144.63
16	"unwashed"	162.14
16	"unwashed"	161.03
16	"unwashed"	165.41
16	"unwashed"	160.97
16	"unwashed"	155.07
16	"unwashed"	190.01
16	"unwashed"	143.25
16	"unwashed"	149.34
16	"unwashed"	143.7
16	"unwashed"	156.21
16	"unwashed"	166.53
16	"unwashed"	173.54
16	"unwashed"	160.5
16	"unwashed"	138.91
16	"unwashed"	160.34
16	"washed"	183.13
16	"washed"	166.41
16	"washed"	185.88
16	"washed"	188.97
16	"washed"	185.37
16	"washed"	169.43
16	"washed"	164.89
16	"washed"	149.62
16	"washed"	163.48
16	"washed"	181.53
16	"washed"	163.78
16	"washed"	176.41
16	"washed"	175.16
16	"washed"	180.91
16	"washed"	171.23
16	"washed"	157.23
16	"washed"	165.37
16	"washed"	177.13
16	"washed"	161.44
16	"washed"	175.24
16	"washed"	183.4
16	"washed"	159.99
16	"washed"	171.39
16	"washed"	165.45
16	"washed"	193.28
