"Fragmentation"	"Distance"
"none"	153.71
"none"	153.64
"none"	145.75
"none"	115.92
"none"	169.25
"none"	138.21
"none"	166.09
"none"	141.17
"none"	130.49
"none"	141.83
"none"	129.72
"none"	138.93
"none"	128.67
"none"	194.41
"none"	164.06
"some"	165.35
"some"	228.83
"some"	149.32
"some"	212.02
"some"	184.38
"some"	307.64
"some"	192
"some"	186.15
"some"	124.15
"some"	192.65
"some"	129.83
"some"	244.28
"some"	139.07
"some"	114.12
"some"	254.12
"extensive"	283.15
"extensive"	312.65
"extensive"	301.29
"extensive"	263.34
"extensive"	196.87
"extensive"	237.81
"extensive"	243.46
"extensive"	235.57
"extensive"	296.67
"extensive"	210.24
"extensive"	302.36
"extensive"	208.64
"extensive"	313.38
"extensive"	302.15
"extensive"	389.8
