"Population"	"Area"
"South"	91.16
"South"	90.55
"South"	90.81
"South"	83.15
"South"	85.53
"South"	93.31
"South"	89.3
"South"	90.55
"South"	84.92
"South"	82.2
"South"	89.78
"South"	86.13
"South"	81.33
"South"	87.03
"South"	86.22
"South"	94.72
"South"	89.56
"South"	87.95
"South"	87.36
"South"	89.43
"South"	83.8
"South"	85.38
"South"	85.99
"South"	81.73
"South"	92.1
"North"	86.52
"North"	90.19
"North"	79.79
"North"	87.59
"North"	92.25
"North"	89.93
"North"	85.28
"North"	88.2
"North"	81.44
"North"	85.97
"North"	83.19
"North"	82.07
"North"	83.66
"North"	84.45
"North"	77.8
"North"	88.25
"North"	82.57
"North"	84.97
"North"	87.77
"North"	82.3
"North"	85.57
"North"	90.79
"North"	86.74
"North"	75.74
"North"	79.07
