"ID"	"Light_level"	"Diameter"
1	"Light"	222
2	"Light"	269
3	"Light"	165
4	"Light"	163
5	"Light"	126
6	"Light"	238
7	"Light"	166
8	"Light"	224
9	"Light"	110
10	"Light"	141
11	"Light"	5
12	"Light"	174
13	"Light"	157
14	"Light"	51
15	"Light"	381
16	"Light"	397
17	"Light"	299
18	"Light"	284
19	"Light"	205
20	"Light"	330
21	"Light"	396
22	"Light"	51
23	"Light"	467
24	"Light"	205
25	"Light"	191
26	"Light"	237
27	"Light"	202
1	"Dim"	185
2	"Dim"	96
3	"Dim"	48
4	"Dim"	92
5	"Dim"	84
6	"Dim"	51
7	"Dim"	157
8	"Dim"	256
9	"Dim"	-6
10	"Dim"	111
11	"Dim"	-36
12	"Dim"	153
13	"Dim"	116
14	"Dim"	-49
15	"Dim"	297
16	"Dim"	407
17	"Dim"	168
18	"Dim"	275
19	"Dim"	110
20	"Dim"	253
21	"Dim"	410
22	"Dim"	70
23	"Dim"	481
24	"Dim"	155
25	"Dim"	162
26	"Dim"	299
27	"Dim"	132
